WEEKS,WEEKH,WEEKP,PROD,QUAL,FAC,CUST,TRANS,WEEK1,WEEK,DC,WARE,SCEN,CROP,LOC,WORK,WORK3,Value,Dual,URC
0,0,0,,0,P2,,,ModelStochastic6.Models.WEEK1Model,56,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P3,,,ModelStochastic6.Models.WEEK1Model,56,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P4,,,ModelStochastic6.Models.WEEK1Model,56,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P5,,,ModelStochastic6.Models.WEEK1Model,56,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P6,,,ModelStochastic6.Models.WEEK1Model,56,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P1,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P2,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P3,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P4,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P5,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P6,,,ModelStochastic6.Models.WEEK1Model,57,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P1,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P2,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P3,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P4,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P5,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P6,,,ModelStochastic6.Models.WEEK1Model,58,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P1,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P2,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P3,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P4,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P5,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P6,,,ModelStochastic6.Models.WEEK1Model,59,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P1,,,ModelStochastic6.Models.WEEK1Model,60,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P2,,,ModelStochastic6.Models.WEEK1Model,60,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P3,,,ModelStochastic6.Models.WEEK1Model,60,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P4,,,ModelStochastic6.Models.WEEK1Model,60,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
0,0,0,,0,P5,,,ModelStochastic6.Models.WEEK1Model,60,,,0,,,ModelStochastic6.Models.WORKModel,ModelStochastic6.Models.WORK3Model,0,0,0
